City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,58.12,88,2,0.0,AU,2022-01-30 15:16:43
1,Port Elizabeth,-33.918,25.5701,86.09,78,20,16.11,ZA,2022-01-30 15:18:28
2,Hithadhoo,-0.6,73.0833,82.33,65,100,6.53,MV,2022-01-30 15:19:17
3,Mataura,-46.1927,168.8643,59.49,99,51,2.08,NZ,2022-01-30 15:19:18
4,Codrington,-38.2667,141.9667,62.65,97,3,6.53,AU,2022-01-30 15:19:18
5,Ughelli,5.4899,6.0074,99.48,10,100,5.06,NG,2022-01-30 15:19:19
6,Cartagena,10.3997,-75.5144,82.02,65,75,10.36,CO,2022-01-30 15:17:28
7,Esperance,-33.8667,121.9,72.93,55,67,6.67,AU,2022-01-30 15:19:19
8,La Cruz,23.9167,-106.9,64.92,57,11,2.55,MX,2022-01-30 15:19:20
9,Puerto Ayora,-0.7393,-90.3518,78.76,76,100,8.16,EC,2022-01-30 15:19:21
10,Broome,42.2506,-75.833,14.7,75,20,1.99,US,2022-01-30 15:19:22
11,Isangel,-19.55,169.2667,78.3,90,100,9.62,VU,2022-01-30 15:19:22
12,Lerwick,60.1545,-1.1494,41.0,67,100,15.41,GB,2022-01-30 15:17:20
13,Upernavik,72.7868,-56.1549,-6.75,81,100,9.95,GL,2022-01-30 15:18:08
14,Mar Del Plata,-38.0023,-57.5575,84.22,58,0,24.0,AR,2022-01-30 15:17:34
15,Torbay,47.6666,-52.7314,52.75,97,100,21.85,CA,2022-01-30 15:19:23
16,Pangkalanbuun,-2.6833,111.6167,76.21,87,100,2.01,ID,2022-01-30 15:19:24
17,Letka,59.6011,49.4232,9.09,98,97,5.86,RU,2022-01-30 15:19:24
18,Las Margaritas,16.3167,-91.9833,53.89,86,73,5.37,MX,2022-01-30 15:19:25
19,Ordzhonikidze,52.4411,61.7408,10.54,95,39,9.42,KZ,2022-01-30 15:19:25
20,Karratha,-20.7377,116.8463,82.87,72,57,27.27,AU,2022-01-30 15:19:25
21,Ambilobe,-13.2,49.05,78.28,87,65,2.75,MG,2022-01-30 15:19:26
22,Albany,42.6001,-73.9662,14.61,44,26,4.0,US,2022-01-30 15:16:11
23,Vaini,-21.2,-175.2,80.62,78,100,11.81,TO,2022-01-30 15:19:27
24,Asau,46.4333,26.4,38.32,96,56,16.89,RO,2022-01-30 15:19:27
25,Castro,-24.7911,-50.0119,64.51,98,100,6.85,BR,2022-01-30 15:19:27
26,Lakes Entrance,-37.8811,147.981,68.58,98,90,2.17,AU,2022-01-30 15:19:28
27,Nioro,13.35,-15.75,100.92,9,85,7.45,GM,2022-01-30 15:19:28
28,Dikson,73.5069,80.5464,2.71,93,100,20.65,RU,2022-01-30 15:19:29
29,Hambantota,6.1241,81.1185,79.38,82,19,13.58,LK,2022-01-30 15:19:29
30,East London,-33.0153,27.9116,79.74,73,0,18.41,ZA,2022-01-30 15:19:30
31,Avarua,-21.2078,-159.775,78.85,83,40,11.5,CK,2022-01-30 15:19:30
32,Yunguyo,-16.25,-69.0833,46.71,81,100,1.66,PE,2022-01-30 15:19:31
33,Ancud,-41.8697,-73.8203,58.53,52,23,10.22,CL,2022-01-30 15:18:10
34,Pangnirtung,66.1451,-65.7125,-19.62,89,100,5.01,CA,2022-01-30 15:19:31
35,Saldanha,-33.0117,17.9442,71.13,72,32,18.1,ZA,2022-01-30 15:19:32
36,Jamestown,42.097,-79.2353,14.52,60,100,1.99,US,2022-01-30 15:18:54
37,Evensk,61.95,159.2333,19.13,54,100,23.17,RU,2022-01-30 15:19:33
38,Bengkulu,-3.8004,102.2655,77.34,90,100,6.22,ID,2022-01-30 15:19:33
39,Atuona,-9.8,-139.0333,77.16,77,3,11.41,PF,2022-01-30 15:19:34
40,Assiniboia,49.6334,-105.9845,30.11,79,45,11.5,CA,2022-01-30 15:19:34
41,Qaanaaq,77.484,-69.3632,-7.87,69,100,8.28,GL,2022-01-30 15:19:35
42,Port Keats,-14.25,129.55,80.82,83,84,20.69,AU,2022-01-30 15:19:36
43,Husavik,66.0449,-17.3389,30.11,61,82,19.35,IS,2022-01-30 15:19:36
44,Lashio,22.9333,97.75,50.47,75,0,1.97,MM,2022-01-30 15:19:37
45,Rikitea,-23.1203,-134.9692,76.17,60,83,5.61,PF,2022-01-30 15:19:43
46,Zlitan,32.4674,14.5687,58.64,54,37,21.18,LY,2022-01-30 15:19:43
47,Kapaa,22.0752,-159.319,71.92,78,0,13.8,US,2022-01-30 15:19:44
48,Bluff,-46.6,168.3333,59.81,92,88,3.78,NZ,2022-01-30 15:19:44
49,Shakawe,-18.3667,21.85,70.11,81,98,9.31,BW,2022-01-30 15:19:45
50,Tuktoyaktuk,69.4541,-133.0374,-2.2,78,100,18.41,CA,2022-01-30 15:19:45
51,Alamosa,37.4695,-105.87,17.11,77,0,5.75,US,2022-01-30 15:19:46
52,Rawson,-43.3002,-65.1023,65.55,27,95,21.41,AR,2022-01-30 15:19:46
53,Port Alfred,-33.5906,26.891,79.07,73,96,20.11,ZA,2022-01-30 15:19:47
54,Cidreira,-30.1811,-50.2056,76.71,58,12,14.79,BR,2022-01-30 15:19:47
55,Ankang,32.68,109.0172,41.97,64,100,1.79,CN,2022-01-30 15:19:48
56,Waipawa,-41.4122,175.5153,57.83,87,97,2.39,NZ,2022-01-30 15:19:48
57,Hermanus,-34.4187,19.2345,95.9,55,41,22.5,ZA,2022-01-30 15:19:49
58,Nogliki,51.8333,143.1667,-12.15,97,66,6.64,RU,2022-01-30 15:19:49
59,Kaitangata,-46.2817,169.8464,54.82,96,59,2.39,NZ,2022-01-30 15:19:50
60,San Jose De Ocoa,18.55,-70.5,79.16,51,1,3.22,DO,2022-01-30 15:19:50
61,Komsomolskiy,40.4272,71.7189,36.82,86,100,2.3,UZ,2022-01-30 15:19:51
62,Douentza,14.9951,-2.9517,91.04,7,31,18.37,ML,2022-01-30 15:19:51
63,Baley,51.6,116.6333,-19.05,98,13,1.66,RU,2022-01-30 15:19:52
64,Salalah,17.0151,54.0924,75.29,64,20,5.75,OM,2022-01-30 15:19:52
65,Barrow,71.2906,-156.7887,-9.38,77,20,9.22,US,2022-01-30 15:19:53
66,Ngunguru,-35.6167,174.5,61.16,80,98,9.35,NZ,2022-01-30 15:19:53
67,Ballina,-28.8667,153.5667,73.58,87,84,4.65,AU,2022-01-30 15:19:54
68,Saint-Philippe,-21.3585,55.7679,80.19,76,75,13.65,RE,2022-01-30 15:19:54
69,Katsuura,35.1333,140.3,42.19,56,100,7.14,JP,2022-01-30 15:19:55
70,Nador,35.174,-2.9287,64.47,67,0,6.91,MA,2022-01-30 15:19:55
71,Natal,-5.795,-35.2094,88.02,62,75,18.41,BR,2022-01-30 15:16:39
72,Busselton,-33.65,115.3333,66.09,76,0,18.52,AU,2022-01-30 15:19:56
73,Bud,39.447,-86.1758,30.85,67,53,6.73,US,2022-01-30 15:19:57
74,Chokurdakh,70.6333,147.9167,-28.89,88,39,1.45,RU,2022-01-30 15:19:57
75,Punta Arenas,-53.15,-70.9167,53.71,43,75,26.46,CL,2022-01-30 15:19:57
76,Ghanzi,-21.5667,21.7833,75.92,64,99,15.43,BW,2022-01-30 15:19:58
77,Saint-Augustin,51.226,-58.6502,37.87,99,100,21.88,CA,2022-01-30 15:19:58
78,Cape Town,-33.9258,18.4232,96.12,52,0,5.01,ZA,2022-01-30 15:17:51
79,Lufilufi,-13.8745,-171.5986,73.18,76,91,11.05,WS,2022-01-30 15:19:59
80,Bubaque,11.2833,-15.8333,79.21,42,22,6.96,GW,2022-01-30 15:19:59
81,Ushuaia,-54.8,-68.3,46.06,71,75,25.32,AR,2022-01-30 15:16:11
82,Hilo,19.7297,-155.09,67.8,71,75,6.91,US,2022-01-30 15:16:32
83,Vao,-22.6667,167.4833,79.36,87,98,14.2,NC,2022-01-30 15:20:00
84,Mabaruma,8.2,-59.7833,85.96,49,28,5.21,GY,2022-01-30 15:20:01
85,Kargil,34.5667,76.1,-1.26,86,88,3.29,IN,2022-01-30 15:19:17
86,Llanes,43.4198,-4.7549,53.28,73,14,10.22,ES,2022-01-30 15:20:02
87,Lorengau,-2.0226,147.2712,79.48,83,100,11.5,PG,2022-01-30 15:20:03
88,Quatre Cocos,-20.2078,57.7625,82.51,78,28,17.6,MU,2022-01-30 15:20:03
89,Bethel,41.3712,-73.414,19.29,54,0,5.99,US,2022-01-30 15:20:04
90,Umm Kaddadah,13.6017,26.6876,77.05,9,2,12.71,SD,2022-01-30 15:20:09
91,Elizabeth City,36.2946,-76.2511,30.22,50,0,4.61,US,2022-01-30 15:20:10
92,Turan,16.0678,108.2208,69.78,94,75,3.44,VN,2022-01-30 15:16:54
93,San Quintin,30.4833,-115.95,54.77,72,0,3.36,MX,2022-01-30 15:20:10
94,Taloqan,36.7361,69.5345,43.86,60,100,3.91,AF,2022-01-30 15:20:11
95,San-Pedro,4.7485,-6.6363,86.5,62,63,10.63,CI,2022-01-30 15:20:11
96,Birao,10.2849,22.7882,90.5,9,8,6.67,CF,2022-01-30 15:20:11
97,Sosnovo,60.5514,30.2144,27.99,96,100,9.01,RU,2022-01-30 15:20:12
98,Ariquemes,-9.9133,-63.0408,72.01,98,100,4.05,BR,2022-01-30 15:15:48
99,Kruisfontein,-34.0033,24.7314,83.88,61,64,21.39,ZA,2022-01-30 15:20:13
100,Kalemie,-5.9475,29.1947,73.92,85,100,7.36,CD,2022-01-30 15:20:13
101,Batie,9.8833,-2.9167,95.9,8,74,10.04,BF,2022-01-30 15:20:14
102,Malakal,9.5334,31.6605,89.82,15,41,7.87,SS,2022-01-30 15:20:14
103,Mahebourg,-20.4081,57.7,82.69,74,40,13.8,MU,2022-01-30 15:20:15
104,Denpasar,-8.65,115.2167,82.06,78,20,8.05,ID,2022-01-30 15:20:15
105,Johnson City,36.3134,-82.3535,37.08,59,0,4.61,US,2022-01-30 15:20:16
106,Ende,-8.8432,121.6623,79.25,88,100,4.76,ID,2022-01-30 15:20:16
107,Arraial Do Cabo,-22.9661,-42.0278,89.56,70,40,5.75,BR,2022-01-30 15:20:17
108,Batemans Bay,-35.7167,150.1833,74.19,95,71,2.95,AU,2022-01-30 15:20:17
109,Lasa,46.6166,10.7002,49.69,85,3,9.57,IT,2022-01-30 15:20:18
110,Nanortalik,60.1432,-45.2371,14.52,63,100,6.82,GL,2022-01-30 15:20:18
111,Manali,13.1667,80.2667,80.08,78,69,10.45,IN,2022-01-30 15:20:19
112,Gongzhuling,43.5008,124.8198,11.16,69,0,2.68,CN,2022-01-30 15:20:19
113,Teknaf,20.8624,92.3058,61.88,61,0,11.01,BD,2022-01-30 15:20:19
114,Yellowknife,62.456,-114.3525,-16.08,69,100,8.05,CA,2022-01-30 15:20:20
115,Lata,40.1629,-8.3327,67.91,24,87,3.85,PT,2022-01-30 15:20:20
116,Nikolskoye,59.7035,30.7861,28.4,94,100,8.86,RU,2022-01-30 15:20:21
117,Ilinskiy,55.619,38.1182,27.37,86,75,13.42,RU,2022-01-30 15:20:22
